ingredient_name,rating,functions,benefits
Adenosine Phosphate,BEST,"Also known as AMP, adenosine phosphate is a skin-soothing and restoring ingredient that's similar to adenosine triphosphate.",Soothing
Adenosine Triphosphate,BEST,"An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.","Soothing, Anti-Aging"
AHA,BEST,"AHA, also known as alpha hydroxy acid, exfoliates skin and improves signs of aging, dry skin and an uneven skin tone.","Anti-Aging, Dark Spot Fading, Evens Skin Tone, Hydration"
Ahnfeltiopsis Concinna Extract,BEST,Ahnfeltiopsis concinna extract is a type of red algae with calming and hydrating properties for skin.,"Hydration, Soothing"
Akebia Quinata (Chocolate Vine) Stem Extract,BEST,"Stem portion of a large woody vine with flowering leaves. Named chocolate vine due to its scent, the stem has antioxidant properties for skin.","Anti-Aging, Soothing"
Alaria Esculenta Extract,BEST,"A type of brown seaweed rich in amino acids, plant proteins, minerals, and other compounds that visibly influence aging factors within skin.","Hydration, Anti-Aging, Soothing"
Albatrellus Confluens (Mushroom) Extract,BEST,"Also known as Northern Truffle, this wild mushroom is proving to be very helpful for soothing reddened, sensitized skin.","Soothing, Anti-Aging"
Aleurites Moluccana Seed Oil,BEST,Non-volatile oil from a plant native to Hawaii; it has emollient properties for skin.,"Hydration, Anti-Aging"
Alfalfa Extract,BEST,Can be an antioxidant in skin care products.,Anti-Aging
Algae,BEST,"Algae are very simple, chlorophyll-containing organisms.","Anti-Aging, Hydration, Soothing"
Algae Extract,BEST,"The extract of very simple, chlorophyll-containing organisms.","Anti-Aging, Hydration, Soothing"
Allantoin,BEST,"An ingredient that can be naturally derived or made synthetically. It has skin-soothing and moisturizing properties, making it an excellent inclusion in products designed for sensitive skin.",Soothing
Allantoin Glycyrrhetinic Acid,BEST,"Combination of two top skin soothers, allantoin and licorice-derived glycyrrhetinic acid, that also provides antioxidant benefit.",Soothing
Almond/Borage/Linseed/Olive Acids Glycerides,BEST,"A mixture of the fatty acid and triglyceride components of several non-fragrant plant oils, including almond, borage, linseed, and olive.","Hydration, Anti-Aging"
Almond Oil,BEST,Non-volatile oil extracted from the seeds of almonds and used as an emollient.,Hydration
Aloe Barbadensis,BEST,"Commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.","Hydration, Soothing"
Aloe Barbadensis Leaf Extract,BEST,Extract derived from the aloe vera plant. Offers skin-soothing/hydration benefits + antioxidant properties.,"Soothing, Hydration"
Aloe Barbadensis Leaf Juice,BEST,Juice expressed from the leaves of the aloe plant. Commonly used in skin care formulations for its soothing and hydration benefits.,"Soothing, Hydration"
Aloe Barbadensis Leaf Juice Extract,BEST,This extract taken from the aloe plant may also be listed as aloe extract or aloe juice.,"Hydration, Soothing"
Aloe Barbadensis Leaf Juice Powder,BEST,This form of aloe is the powder form of the aloe barbadensis leaf plant.,Anti-Aging
Aloe Extract,BEST,"Commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.","Hydration, Soothing"
Aloe Juice,BEST,Hydrating ingredient dervied from Aloe barbadensis.,"Hydration, Soothing"
Aloe Vera,BEST,"Aloe vera is a commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent.","Hydration, Soothing"
Alpha-Arbutin,BEST,Alpha-arbutin is one of the effective options for targeting skin discolorations. It’s also a potent antioxidant.,"Anti-Aging, Dark Spot Fading, Evens Skin Tone"
Alpha Bisabolol,BEST,Soothing ingredient with significant skin-calming properties. Can be derived from plants (such as chamomile) or made synthetically.,"Anti-Aging, Soothing"
Alpha-Glucan,BEST,"Polysaccharide that plays a variety of roles in skin care including chelating agent, bulking agent, prebiotic, humectant, delivery enhancer, and antioxidant.","Hydration, Soothing"
Alpha-Glucan Oligosaccharide,BEST,This natural prebiotic helps reinforce and support a healthy microbiome while helping skin become less likely to show signs of irritation.,"Hydration, Soothing, Anti-Aging"
Alpha Hydroxy Acid,BEST,"Also known as AHA, it exfoliates skin and improves signs of aging, dry skin and an uneven skin tone.",
Alpha Lipoic Acid,BEST,"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant, and is believed to have numerous soothing effects.",Anti-Aging
Alpha-Tocopherol,BEST,Antioxidant that is a form of vitamin E.,Anti-Aging
Althaea Officinalis,BEST,Latin name for the marshmallow plant.,Soothing
Althaea Officinalis Root Extract,BEST,This soothing plant also helps visibly repair damaged skin and provides light emollient properties.,"Anti-Aging, Soothing"
Amaranthus Caudatus Seed extract,BEST,"Plant extract with moisturizing benefits and anti-aging potential, thanks to its skin-beneficial compounds.","Anti-Aging, Hydration"
Amino Acids,BEST,Fundamental constituents of all proteins found in the body.,Hydration
Ammonium Glycolate,BEST,Synthetic form of glycolic acid used as a pH adjuster and exfoliant.,"Evens Skin Tone, Anti-Aging"
Anastatica Hierochuntica Extract,BEST,"This plant extract is a source of skin-soothing, anti-aging antioxidants and may also help improve uneven tone.","Soothing, Anti-Aging"
Anthemis Nobilis Flower Extract,BEST,"Also known as chamomile flower extract, this ingredient has notable skin soothing and anti-aging properties.","Soothing, Anti-Aging"
Anthocyanin,BEST,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants.","Anti-Aging, Soothing"
Antioxidant,BEST,General term for a large group of natural and synthetic ingredients that work to defend against environmental stress on skin,
Apple Fruit Extract,BEST,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.","Anti-Aging, Hydration"
Apricot Kernel Oil,BEST,"Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.","Hydration, Anti-Aging"
Arachis Hypogaea Extract,BEST,Extract of the plant commonly known as the peanut. It can have emollient and skin soothing properties.,"Hydration, Soothing"
Arbutin,BEST,Antioxidant that helps enhance and even out overall skin tone. Works by interrupting triggers of discolorations. Can be of natural or synthetic origin.,"Dark Spot Fading, Evens Skin Tone"
Arctium Lappa,BEST,Skin-soothing antioxidant.,"Soothing, Anti-Aging"
Arctium Lappa Root Extract,BEST,Skin-soothing antioxidant.,"Soothing, Anti-Aging"
Arctium Majus,BEST,Functions as a skin-soothing antioxidant.,"Soothing, Anti-Aging"
Arctium Majus Root Extract,BEST,Functions as a skin-soothing antioxidant.,"Soothing, Anti-Aging"
Arctostaphylos Uva Ursi Leaf Extract,BEST,A plant-based ingredient with antioxidant properties. Research also indicates it can help improve the look of skin discolorations.,"Anti-Aging, Dark Spot Fading"
Argania Spinosa,BEST,"This tree is the source of argan oil, which contains several beneficial lipids and fatty acids for skin.",Anti-Aging
Argania Spinosa Kernel Oil,BEST,Argania spinosa kernel oil is the latin name for the oil expressed from the kernels of the argan tree.,"Hydration, Anti-Aging"
Argan Oil,BEST,Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin.,"Hydration, Anti-Aging"
Arginine,BEST,Amino acid with antioxidant and hydration properties.,"Hydration, Anti-Aging"
Arginine/Lysine Polypeptide,BEST,A highly targeted multi-peptide that helps skin's supportive elements resist further damage while working to repair visible signs of aging.,"Anti-Aging, Hydration"
Aristotelia Chilensis (Maqui),BEST,"Maqui, also known as Chilean wineberry, is a richly-colored berry that contains a potent type of antioxidant anthocyanidin known as delphinidins.",Anti-Aging
Ascorbic Acid,BEST,"Pure vitamin C, the primary antioxidant in skin. Works as an antioxidant, dullness brightener, wrinkle-reducer, and helps fade discolorations.","Anti-Aging, Dark Spot Fading, Evens Skin Tone"
Ascorbyl Glucosamine,BEST,Form of vitamin C that has little research showing it has the antioxidant or brightening properties of other forms of vitamin C.,Anti-Aging
Ascorbyl Glucoside,BEST,"Stable, water-soluble form of vitamin C that brightens dull skin and fades discolorations.","Anti-Aging, Dark Spot Fading, Evens Skin Tone"
Ascorbyl Methylsilanol Pectinate,BEST,Form of vitamin C that is considered stable and that functions as an antioxidant and thickening agent.,"Anti-Aging, Hydration"
Ascorbyl Palmitate,BEST,"Stable, oil-soluble form of vitamin C that works as an antioxidant and helps stabilize skin care formulas.","Anti-Aging, Dark Spot Fading, Evens Skin Tone"
Ascorbyl Tetraisopalmitate,BEST,"Highly stable, oil soluble derivative of vitamin C that helps protect skin from environmental aggressors and promotes a firm skin structure.","Anti-Aging, Dark Spot Fading, Evens Skin Tone"
Asiatic Acid,BEST,"Potent antioxidant found naturally in many plants, including Centella asiatica. Used in skin care to help offset triggers of sun damage and aging skin, while also imparting soothing properties.",Anti-Aging
Aspergillus Ferment,BEST,Fungi extract produced via fermentation with proven skin-brightening and antioxidant benefits. Can also improve the bioactivity of other skin care ingredients.,"Anti-Aging, Evens Skin Tone, Hydration"
Astaxanthin,BEST,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions as a potent antioxidant.","Anti-Aging, Soothing"
Astaxanthin Extract,BEST,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions as a potent antioxidant.","Anti-Aging, Soothing"
Astragalus Membranaceus,BEST,"Latin name for the Chinese herb Huang-Qi, also known as milk vetch.",Anti-Aging
ATP,BEST,"An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.","Anti-Aging, Soothing"
Atractylodes Macrocephala Root Powder,BEST,Herbal ingredient that offers antioxidant benefits and skin-soothing properties.,Soothing
Avena Sativa (Oat) Kernel Extract,BEST,This plant-derived ingredient is well-known for both its antioxidant and skin-soothing properties.,Soothing
Avena Sativa (Oat) Kernel Oil,BEST,"This oat-derived oil is known for its antioxidant and skin-soothing properties, as well as emollient moisturizing benefits.",Soothing
Avena Sativa Kernel Extract,BEST,Another name for oat extract. This plant-derived ingredient is well-known for both its antioxidant and skin-soothing properties.,Soothing
Avobenzone,BEST,UVA-only sunscreen filter that must be combined with other sunscreen ingredients to achieve broad-spectrum protection. Avobenzone must be stabilized in a formula to keep it from breaking down prematurely on skin.,Anti-Aging
Avocado Oil,BEST,Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.,"Hydration, Anti-Aging"
Azadirachta Indica,BEST,This plant's extract form has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface.,Anti-Aging
Azelaic Acid,BEST,"Soothing agent and gentle exfoliant that refines skin’s texture and reduces blemishes + their marks. Famous for calming reddened, sensitive skin.","Anti-Acne, Dark Spot Fading, Smooths Bumpy Skin"
Azelaoyl Bis-Dipeptide-10,BEST,Azelaoyl bis-dipeptide-10 is a synthetic peptide built around naturally-derived azelaic acid that offers brightening and antioxidant benefits.,"Anti-Aging, Evens Skin Tone, Soothing"
Azelex,BEST,A prescription azelaic acid medicine.,"Anti-Acne, Dark Spot Fading, Smooths Bumpy Skin"
Babassu Oil,BEST,"Babassu oil comes from the seed of the Orbignya oleifera plant, which is native to Brazil.","Hydration, Anti-Aging"
Bacillus/Soybean Ferment Extract,BEST,A ferment with skin conditioning and antioxidant properties that’s also a source of dark spot-fighting arbutin.,"Anti-Aging, Dark Spot Fading"
Bacillus Ferment,BEST,"A fermented peptide that offers various benefits for skin and hair, depending on the strain used to create the resulting ingredient. In general, it soothes and supports skin’s microbiome.",Soothing
Bakuchiol,BEST,"Backed by research for reducing discolorations, wrinkles, and other signs of aging. Contributes to improved elasticity and smoother skin.","Anti-Aging, Evens Skin Tone, Soothing"
Balloon Vine Extract,BEST,"Plant extract noted for its significant soothing benefits, highlighted in research as being overtly calming for signs of compromised skin.","Anti-Aging, Soothing"
Bambusa Vulgaris (Bamboo) Leaf/Stem Extract,BEST,Extract from the common bamboo plant.,Anti-Aging
Barberry,BEST,"Plant whose primary component, berberine, is an alkaloid that can have soothing properties.","Soothing, Anti-Aging"
Bearberry Extract,BEST,"Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing properties.","Anti-Aging, Soothing"
Benzephenone-3,BEST,"Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun's UVB rays.",Anti-Aging
Benzoyl Peroxide,BEST,This over-the-counter topical antibacterial acne treatment is widely considered the most effective because of its ability to penetrate hair follicles and kill acne-causing bacteria with low sensitivity.,"Anti-Acne, Smooths Bumpy Skin"
Berberis Aristata,BEST,Plant that has potential to offer skin-soothing properties,Anti-Aging
Berberis Vulgaris Root Extract,BEST,Extract derived from the barberry plant that offers skin-soothing and antioxidant benefits.,"Soothing, Anti-Aging"
Beta-Glucan,BEST,Soothing ingredient proven to visibly calm skin and reduce signs of sensitivity + redness. Also offers moisturizing and anti-aging properties.,"Soothing, Hydration"
Beta Hydroxy Acid,BEST,"Oil-soluble exfoliating ingredient that gently helps slough off dead skin cells and unclogs pores, for softer, smoother texture and tone.",
Beta-Sitosterol,BEST,"Beta-sitosterol is a fatty acid-type ingredient derived from plants, and is similar to cholesterol.",Hydration
BHA (Beta Hydroxy Acid),BEST,"BHA, or beta hydroxy acid, is more commonly known as salicylic acid.","Anti-Acne, Blackhead Reducing, Soothing"
Bifida Ferment Lysate,BEST,"Probiotic-derived ingredient that strengthens skin's microbiome, encouraging skin to repair itself, which helps it look younger.","Hydration, Soothing"
Bilberry Extract,BEST,Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested...,"Anti-Aging, Evens Skin Tone"
Bioflavonoid,BEST,Diverse range of substances that are components of many fruits and vegetables.,Anti-Aging
Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides,BEST,Combining several B vitamins with stabilizing yeast peptides leads to a skin-energizing blend that also helps hydrate and condition skin.,"Anti-Aging, Hydration"
Bisabolol,BEST,Soothing ingredient with significant skin-calming properties. Can be derived from plants (such as chamomile) or made synthetically.,"Soothing, Anti-Aging"
Bis-Diglyceryl Polyacyladipate-2,BEST,A synthetic ingredient used in skin care products to enhance texture and provide emollient properties.,Hydration
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,BEST,Synthetic broad-spectrum sunscreen agent that helps defend skin against UVA and UVB rays; praised for excellent photostability.,Anti-Aging
Blackberry,BEST,Berries that have antioxidant properties.,Anti-Aging
Black Currant Oil,BEST,Non-volatile plant oil.,"Hydration, Anti-Aging"
Black Elderberry,BEST,"When taken orally, this has antioxidant properties.","Anti-Aging, Soothing"
Black Raspberry,BEST,Fruit that has antioxidant properties.,Anti-Aging
Black Tea,BEST,Antioxidant-rich plant extract.,"Soothing, Anti-Aging"
Bladderwrack Extract,BEST,Extract derived from seaweed; it can be an effective antioxidant and has water-binding properties.,"Benefits: Anti-Aging, Hydration, Soothing"
Boerhavia Diffusa Root Extract,BEST,"Skin-soothing antioxidant that delivers additional beneficial compounds, such as amino acids. May also help visibly correct uneven skin tone.","Soothing, Anti-Aging"
Borage Seed Extract,BEST,"Extract of the plant Borago officinalis, it can have skin soothing properties.","Soothing, Anti-Aging"
Borage Seed Oil,BEST,Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin.,"Hydration, Anti-Aging, Soothing"
Borago Officinalis Extract,BEST,Skin-soothing ingredient.,"Soothing, Anti-Aging"
Borago Officinalis Seed Extract,BEST,Plant extract that offers soothing properties for skin.,"Soothing, Anti-Aging"
Borago Officinalis Seed Oil,BEST,Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin.,"Hydration, Anti-Aging, Soothing"
Boysenberry,BEST,Berry that can have potent antioxidant properties.,Anti-Aging
Brassica Campestris,BEST,"In the nonfragrant oil form, this ingredient offers emolliency and potential antioxidant properties for skin and is a rich source of omega-3 and omega-6 fatty acids.",Anti-Aging
Brassica Campestris (Rapeseed) Seed Oil,BEST,Nonfragrant oil that has emollient and potential antioxidant properties for skin and is a rich source of omega-3 and omega-6 fatty acids.,"Hydration, Anti-Aging"
Brassica Oleracea Acephala Leaf Extract,BEST,"Commonly known as kale, Brassica oleracea acephala leaf extract is a rich source of antioxidants to help maintain skin health.","Anti-Aging, Soothing"
Brassica Oleracea Italica Broccoli Extract,BEST,"Extract from the broccoli plant, rich in skin-beneficial antioxidants that help offset negative effects from environmental stressors.",Anti-Aging
Buddleja Davidii Extract,BEST,Plant also known as summer lilac or butterfly bush (because the flowers are a food source for butterflies).,Anti-Aging
Burdock Root,BEST,Plant extract whose active constituents are skin soothing and antioxidant.,"Soothing, Anti-Aging"
Butyl Methoxydibenzoylmethane,BEST,UVA-only sunscreen filter that must be combined with other sunscreen ingredients to achieve broad-spectrum protection. It must be stabilized in a formula to keep it from breaking down prematurely on skin.,Anti-Aging
Butyrospermum Fruit,BEST,"Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to make shea butter.","Hydration, Anti-Aging"
Butyrospermum Parkii,BEST,"Also known as the shea tree, its most famous product, shea butter, is a plant lipid used as an emollient in cosmetics. It also provides antioxidant benefits.",Benefits: Hydration
Butyrospermum Parkii (Shea Butter) Unsaponifiables,BEST,A highly moisturizing portion of shea butter that also has soothing and barrier-repairing benefits that are very helpful for dry skin and lips.,Soothing
Butyrospermum Parkii Butter,BEST,"Also known as shea butter, this a plant lipid used as an emollient in cosmetics. It also provides antioxidant benefits.","Anti-Aging, Hydration, Soothing"
Butyrosperum Parkii (Shea) Butter Extract,BEST,Butyrosperum parkii (shea) butter extract doesn't just have a rich texture; it's also a rich source of antioxidants and replenishing antioxidants.,"Hydration, Anti-Aging"
Butyrosperum Parkii Butter Extract,BEST,Butyrosperum parkii butter extract doesn't just have a rich texture; it's also a rich source of antioxidants and replenishing antioxidants.,"Hydration, Anti-Aging"
Buxus Chinensis,BEST,"Also known as jojoba, this ingredient is often used in its oil form as an emollient. It offers numerous beneficial properties for skin.","Hydration, Anti-Aging"
C10-30 Cholesterol/Lanosterol Esters,BEST,A complex mixture of fatty acids from lanolin and cholesterol that conditions skin and helps create thicker textures in cosmetics.,Hydration
C13-16 Isoalkane,BEST,"Formerly known as C13-16 isoparaffin, this versatile ingredient improves the texture, finish, and spread of cosmetic formulas without feeling heavy or oily.",
Caffeic Acid,BEST,Antioxidant that has multiple benefits for skin.,Anti-Aging
Calcium Ascorbate,BEST,"Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and magnesium ascorbyl phosphate.",Anti-Aging
Calcium Pantothenate,BEST,Also known as pantothenic acid.,Anti-Aging
Calcium PCA,BEST,Mineral electrolyte that helps replenish skin’s barrier and works as a humectant to draw and hold moisture in skin’s uppermost layers.,Hydration
Calluna Vulgaris Flower Extract,BEST,"Also known as heather extract, this plant has skin-soothing properties.","Anti-Aging, Soothing"
Camellia Japonica Flower Extract,BEST,"This plant-based ingredient (also known as Tsubaki) has proven antioxidant, anti-pollution, and soothing abilities.",Anti-Aging
Camellia Oleifera,BEST,"A type of green tea plant, this ingredient has antioxidant and soothing properties that make it an impressive addition to skin care products.","Anti-Aging, Soothing"
Camellia Oleifera Leaf Extract,BEST,"A type of green tea plant, this ingredient has antioxidant and soothing properties that make it an impressive addition to skin care products.","Anti-Aging, Soothing"
Camellia Sinensis,BEST,"Better known as green tea, this plant is a rich source of antioxidants.","Anti-Aging, Soothing"
Camellia Sinensis Leaf Extract,BEST,Extract from the minimally processed buds and leaves of green tea.,"Anti-Aging, Soothing"
Camellia Sinensis Seed Oil,BEST,"Also known as green tea oil, this oil is a rich source of antioxidants and fatty acids.",
Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters,BEST,"Natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax that helps oil + water-based ingredients stay blended together to avoid separation in the formula and increase stability.",Hydration
Cannabidiol,BEST,Cannabidiol is one of the components of the Cannabis sativa and Cannabis indica plants.,"Anti-Aging, Anti-Acne, Soothing"
Cannabis Sativa Oil,BEST,"Also known as hemp seed oil, this non-fragrant plant oil is good source of skin-replenishing omega fatty acids, amino acids and vitamin E.","Anti-Aging, Hydration"
Canola Oil,BEST,Plant lipid that has skin restoring and soothing properties.,"Hydration, Anti-Aging"
Caprooyl Phytosphingosine,BEST,"Ceramide ingredient that works to replenish and restore a healthier-looking skin surface, creating a smooth, hydrated feel. Effective for stopping moisture loss from skin’s uppermost layers.","Hydration, Anti-Aging"
Caprooyl Sphingosine,BEST,Ceramide ingredient that helps replenish hydration in skin’s uppermost layers and contributes to a smooth feel and healthier-looking surface.,"Hydration, Anti-Aging"
Caprooyl Tetrapeptide-3,BEST,This synthetic peptide is a signal peptide that’s said to help boost production of substances that help skin look younger and feel firmer.,Anti-Aging
Caprylic/Capric Triglyceride,BEST,Emollient and skin-replenishing ingredient derived from coconut oil and glycerin. Contains fatty acids that help skin resist moisture loss.,Hydration
Capryloyl Salicylic Acid,BEST,Capryloyl salicylic acid is a derivative (ester) of salicylic acid developed by L'Oreal.,"Anti-Acne, Blackhead Reducing, Soothing"
Carboxylic Acid,BEST,A general term for a type of organic acid. Fatty acids and amino acids are examples of carboxylic acid.,
Cardiospermum Halicacabum,BEST,"Plant (also known as balloon vine) whose extracts are noted in research for significant skin-soothing benefits, including visibly calming for signs of compromised skin.","Anti-Aging, Soothing"
Carnitine,BEST,Naturally occurring amino acid.,
Carnosic Acid,BEST,Component of rosemary that is an antioxidant.,Anti-Aging
Carnosine,BEST,"Peptide that offers skin-soothing + antioxidant properties. Studies show promise for improving signs of aging, including wrinkles.",Anti-Aging
Carnosol Acid,BEST,Derivative of carnosic acid that functions as an antioxidant.,
Carrot Oil,BEST,Emollient plant oil similar to other nonfragrant plant oils.,"Hydration, Anti-Aging"
Carthamus Tinctorius Oil,BEST,"This oil contains beneficial fatty acids, primarily linolenic acid, that can help diminish signs and occurrence of dry skin.",Hydration
Caryocar Brasiliense Fruit Oil,BEST,"Also known as pequi oil, this fruit oil has antioxidant, emollient, and occlusive properties that condition skin and help prevent moisture loss.","Anti-Aging, Hydration, Soothing"
Cassia Angustifolia Seed Polysaccharide,BEST,Cassia angustifolia seed polysaccharide is the polysaccharide portion derived from the seed of the Cassia angustifolium plant.,Hydration
Castanea Sativa (Chestnut) Leaf Extract,BEST,Castanea sativa (chestnut) leaf extract is an antioxidant with specialized skin-soothing qualities that help support skin’s barrier.,"Anti-Aging, Soothing"
Castor Oil,BEST,Vegetable oil derived from the castor bean. It is used in cosmetics as an emollient.,Hydration
Catalase,BEST,Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant properties.,Hydration
Centaurea Cyanus,BEST,"The extract from this plant, also known as cornflower, can have skin-calming properties.",Soothing
Centella Asiatica Extract,BEST,This star ingredient of South Korean cica creams is a rich source of antioxidant and amino acids. It’s well known for its soothing properties.,"Soothing, Anti-Aging"
Cephalin,BEST,Phospholipid.,Hydration
Ceramide AP,BEST,"Replenishing ingredient that supports skin’s barrier strength, suppleness, and hydration levels.","Hydration, Anti-Aging"
Ceramide AS,BEST,Formerly known as ceramides 4 and 5. A hydrating ingredient that occurs naturally in skin which also helps boost skin and barrier health.,"Anti-Aging, Hydration"
Ceramide EOP,BEST,"Replenishing ingredient that supports skin’s barrier strength, suppleness, and hydration levels.","Hydration, Anti-Aging"
Ceramide EOS,BEST,"Replenishing ingredient that supports and strengthens skin’s barrier, suppleness, and hydration.","Hydration, Anti-Aging"
Ceramide NG,BEST,"Replenishing ingredient that supports skin’s barrier strength, suppleness, and moisture  levels.","Hydration, Anti-Aging"
Ceramide NP,BEST,"Replenishing ingredient that supports barrier strength, suppleness, and hydration.","Hydration, Anti-Aging"
Ceramide NS,BEST,"Provides barrier strengthening properties and helps skin retain moisture for a more hydrated, supple appearance.","Hydration, Anti-Aging"
Ceramides,BEST,"Work to improve skin’s barrier strength, texture, suppleness, and hydration levels. May also help with signs of sensitivity.","Hydration, Anti-Aging"
Chamomile,BEST,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla.","Anti-Aging, Soothing"
Chamomilla Recutita (Matricaria) Flower Extract,BEST,Plant extract famous for its soothing properties; also provides antioxidant benefits. Those allergic to plants in the daisy family may need to avoid this ingredient.,Anti-Aging
Chamomilla Recutita Flower Extract,BEST,The Latin name for the flower extract of a type of chamomile. It has soothing and antioxidant properties.,"Anti-Aging, Soothing"
Cherry Extract,BEST,"Also known as wild cherry and sweet cherry, cherry extract is a natural source of vitamin C.",Anti-Aging
Chitosan,BEST,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs.",Soothing
Chlorella Vulgaris Extract,BEST,Algae-derived antioxidant withs soothing/hydrating properties for skin + anti-aging benefits.,"Soothing, Hydration"
Cholesterol,BEST,"Plays a key role in maintaining skin's health, softness, and hydration.","Hydration, Anti-Aging"
